node,hour,label_next_6h,risk_score
0,2005-08-30 01:00:00,0,0.8315482303578741
0,2005-07-20 03:00:00,0,0.8256780844195682
0,2005-10-17 07:00:00,0,0.8197922329185439
0,2005-08-30 11:00:00,0,0.8195292047856297
0,2005-08-22 05:00:00,0,0.8194581329115661
0,2005-08-30 02:00:00,0,0.8143635636786614
0,2005-10-18 02:00:00,0,0.8070122799787539
0,2005-07-26 12:00:00,0,0.806390461938158
0,2005-07-27 02:00:00,0,0.806055799495205
0,2005-10-03 19:00:00,0,0.8059802846354504
0,2005-08-31 18:00:00,0,0.8054989304740522
0,2005-07-26 07:00:00,0,0.8050060518979446
0,2005-10-11 03:00:00,0,0.804995448793727
0,2005-09-21 04:00:00,0,0.8048181051192905
0,2005-08-16 02:00:00,0,0.8042174084937155
0,2005-08-22 01:00:00,0,0.8042035923904972
0,2005-08-30 06:00:00,0,0.8039107803688349
0,2005-07-26 03:00:00,0,0.8034453142157529
0,2005-08-22 03:00:00,0,0.8027194057189567
0,2005-10-04 07:00:00,0,0.8022362393501787
