node,hour,label_next_6h,risk_score
219,2005-09-24 06:00:00,0,0.9999885288869216
220,2005-09-24 06:00:00,0,0.9999845987077961
17,2005-09-02 04:00:00,0,0.9999728365357917
217,2005-09-24 06:00:00,0,0.9998498721856616
216,2005-09-24 06:00:00,0,0.9997181479668077
0,2005-08-10 05:00:00,0,0.9994746298716564
5,2005-08-22 18:00:00,0,0.9994546311742311
0,2005-08-12 00:00:00,0,0.9992966728018815
15,2005-08-26 04:00:00,0,0.9980937859512746
192,2005-09-02 09:00:00,0,0.9972015234371684
192,2005-09-02 22:00:00,0,0.9963995630465683
230,2005-10-18 18:00:00,0,0.9961686707510583
0,2005-08-06 13:00:00,0,0.9961613016504088
0,2005-08-09 15:00:00,0,0.9961365561975931
64,2005-10-18 18:00:00,0,0.9950961068064967
0,2005-09-12 12:00:00,0,0.9950957405775334
194,2005-09-03 12:00:00,0,0.9948117293522856
13,2005-08-22 21:00:00,0,0.9943181006758977
218,2005-10-18 18:00:00,0,0.9927107165775527
0,2005-07-21 23:00:00,0,0.991956641566666
