node,hour,label_next_6h,risk_score
219,2005-09-24 06:00:00,0,5.165819575576252
220,2005-09-24 06:00:00,0,5.055306235499598
17,2005-09-02 04:00:00,0,4.657300732780116
217,2005-09-24 06:00:00,0,3.943906201737034
216,2005-09-24 06:00:00,0,3.5386021145489646
5,2005-08-22 18:00:00,0,3.3604657896375802
15,2005-08-26 04:00:00,0,2.9812031038076365
0,2005-08-10 05:00:00,0,2.968196385246891
0,2005-08-12 00:00:00,0,2.8406300739296544
192,2005-09-02 09:00:00,0,2.546522703815538
192,2005-09-02 22:00:00,0,2.453129237795465
194,2005-09-03 12:00:00,0,2.362601629879806
0,2005-08-06 13:00:00,0,2.204073348946842
96,2005-08-22 21:00:00,0,2.164268101889888
13,2005-08-22 21:00:00,0,2.1413067296251005
0,2005-08-15 12:00:00,0,2.057107263909023
230,2005-10-18 18:00:00,0,1.951809875610968
0,2005-08-09 15:00:00,0,1.9417453209251945
64,2005-10-18 18:00:00,0,1.8371148312249685
218,2005-10-18 18:00:00,0,1.705607297168032
