node,hour,label_next_6h,risk_score
0,2005-10-18 08:00:00,0,0.9660291844898791
0,2005-08-30 06:00:00,0,0.9654124120624645
0,2005-10-12 06:00:00,0,0.963809695462764
0,2005-08-30 09:00:00,0,0.9598313827139081
0,2005-10-17 13:00:00,0,0.9582159985539035
0,2005-08-23 07:00:00,0,0.9581445125538545
0,2005-08-17 07:00:00,0,0.9573017472925976
0,2005-08-16 07:00:00,0,0.9545496816115125
0,2005-10-18 07:00:00,0,0.9529522483472804
0,2005-08-24 09:00:00,0,0.9522314035283886
0,2005-07-20 11:00:00,0,0.9516957256249791
0,2005-08-17 11:00:00,0,0.9510278458606763
0,2005-08-22 03:00:00,0,0.9491391940313838
0,2005-09-21 12:00:00,0,0.9484649952781102
0,2005-10-18 02:00:00,0,0.9477458358641749
0,2005-08-16 02:00:00,0,0.9470892328756672
0,2005-08-30 13:00:00,0,0.9466801937763901
0,2005-08-23 05:00:00,0,0.9465443719978137
0,2005-10-04 20:00:00,0,0.9465022776951466
0,2005-07-19 06:00:00,0,0.9461043578895102
